read_name	size	mapped_size	status
ee36c6a1-12ab-40ea-9119-83fa1fa8c9dc	18504	535	TOCHECK
b954ccaf-e2ff-4b8a-b156-b612d3986d02	13994	535	TOCHECK
919cd74e-52c8-4542-b0fc-772c171313a9	49188	529	TOCHECK
919cd74e-52c8-4542-b0fc-772c171313a9	49188	533	TOCHECK
255ebdba-a48c-4a32-bd06-5919eb004b01	13442	531	TOCHECK
919cd74e-52c8-4542-b0fc-772c171313a9	49188	515	TOCHECK
62e2c507-7892-4c67-92a6-1a1e23667de6	14077	518	TOCHECK
c1f91e75-783a-4446-87e9-4bf1c54d0879	22694	23111	fully_mapped
684b1317-e8fe-4800-9b21-05975783a491	550	529	fully_mapped
62e2c507-7892-4c67-92a6-1a1e23667de6	14077	6580	TOCHECK
30acea5a-7af5-421b-8542-8070469a029f	1987	1984	fully_mapped
ee36c6a1-12ab-40ea-9119-83fa1fa8c9dc	18504	6580	TOCHECK
0098fe43-c018-483f-9d9b-f5d818f97bbc	1795	1795	fully_mapped
22613e7d-ab23-41b7-9d83-81a0dcd58b67	3045	2882	TOCHECK
b954ccaf-e2ff-4b8a-b156-b612d3986d02	13994	6578	TOCHECK
efb0a973-1303-4d09-969e-3b934bd354bb	22693	23105	fully_mapped
45c7e20c-9df8-413b-bbd5-f8421c2f71d5	22682	23095	fully_mapped
f7b63a21-43f3-46b6-9af4-3c7e520aaea4	11856	11908	fully_mapped
919cd74e-52c8-4542-b0fc-772c171313a9	49188	831	TOCHECK
919cd74e-52c8-4542-b0fc-772c171313a9	49188	1025	TOCHECK
919cd74e-52c8-4542-b0fc-772c171313a9	49188	1025	TOCHECK
255ebdba-a48c-4a32-bd06-5919eb004b01	13442	1012	TOCHECK
919cd74e-52c8-4542-b0fc-772c171313a9	49188	875	TOCHECK
255ebdba-a48c-4a32-bd06-5919eb004b01	13442	149	TOCHECK
919cd74e-52c8-4542-b0fc-772c171313a9	49188	16524	TOCHECK
919cd74e-52c8-4542-b0fc-772c171313a9	49188	1050	TOCHECK
919cd74e-52c8-4542-b0fc-772c171313a9	49188	1050	TOCHECK
919cd74e-52c8-4542-b0fc-772c171313a9	49188	1050	TOCHECK
255ebdba-a48c-4a32-bd06-5919eb004b01	13442	1050	TOCHECK
b954ccaf-e2ff-4b8a-b156-b612d3986d02	13994	1047	TOCHECK
62e2c507-7892-4c67-92a6-1a1e23667de6	14077	1046	TOCHECK
ee36c6a1-12ab-40ea-9119-83fa1fa8c9dc	18504	1039	TOCHECK
919cd74e-52c8-4542-b0fc-772c171313a9	49188	992	TOCHECK
255ebdba-a48c-4a32-bd06-5919eb004b01	13442	482	TOCHECK
dd02dfff-16ec-4db8-9a5c-a8a276848587	15697	15875	fully_mapped
9e7f6223-819c-4baa-9dca-2cc6332a365b	13043	13193	fully_mapped
0f11b0db-5cb9-4870-95a4-991544f22f13	9929	10016	fully_mapped
